S No,Media Site Id,City,Zone,Locality,Pin Code,Office Building Name,No of Employees (Approx),No of Screens,No of impressions per month,Screen Size,"Latitude,Longitude",Facility Type,Tenant Details
1,MSE7WE6S,Hyderabad,Kothaguda Junction,Kondapur,500084,Awfis - B144Lorven Tiara,1000,7,88200,32 inch LED TV,"17.458914,78.366565",Coworking space,"Acads 360, Toyota Tshusho, HATHORITY, TECHSOL"
2,MS04G7X0,Hyderabad,Begumpet,Begumpet,500016,Awfis - Oyster Complex,1000,3,37800,32 inch LED TV,"17.430423736572266,78.4564208984375",Coworking space,"Piramal,, Lead brand media, Fund insights investment, Neemans, Irich, Visamint, Migration standards, world immigration consultant"
3,MSGBY6HE,Hyderabad,Hitech city,HITEC City,500081,Awfis - Hitech City 6th,1500,3,37800,32 inch LED TV,"17.451776,78.370972",Coworking space,"Life Overseas Career, Visamint overseas service, Fund Insiight Investment, Whiteoak Capital Group,, Piramal Swasthya, Mahindra Logistics, Madduri IT services, Worl Immigration Consultants, Migration Standards, iRich,carbanio, "
4,MS8XWDQH,Hyderabad,Gachibowli,"Ground Floor, Vindhya C4, IIIT-H Campus, Gachibowli, Telangana 500032",500032,CIE Office Space,600,4,50400,32 inch LED TV,"17.44615936279297,78.34999084472656",Corporate Office,"Avanthika Innovations, Alphamu software technologies,  Five fingers innovative solutions, Aapah innovations,  Agilitix Al, Indriyn Data analytics, MED365, Akrantha software PVT LTD, , Kainoos geospartial technologies, Shine projects, bucker HQ"
5,MSZ98CPD,Hyderabad,Madhapur,Serilingampally,500081,T-Hub,2000,22,277200,43 inch LED TV,"17.43385887145996,78.37599182128906",Corporate Office,"Freedom Surgical, Alanati restaurent, Choice solutions limited, TMI Group, KVK Energy and infrastructure pvt ltd"
6,MSS2ZA3P,Hyderabad,Madhapur,HITEC City,500084,Oyo Workspace - Hitech,300,2,25200,32 inch LED TV,"17.456728,78.373513",Coworking space,"REALVERSE PROPTECH PRIVATE LIMITED, ROADSIDE VENTURES PRIVATE LIMITED, , NAIDU DIGITAL PAYMENTS PRIVATE LIMITED,  NAIDU FINTECH PRIVATE LIMITED, NAIDU SOFTWARE TECHNOLOGIES PRIVATE LIMITED, CAPELLA ENTERPRISES, NXTDIV TECHNOLOGIES PVT LTD, SCOTCH N WATER INNOVATIONS PVT LTD, KITAAB TECHNOLOGIES PVT LTD, LINKUPH BHARATH PVT LTD, INFIRAY SOFTWARE"
7,MSFSMGZE,Hyderabad,Begumpet,Begumpet,500016,Awfis - Prestige Phoenix,600,3,37800,32 inch LED TV,"17.437199,78.457087",Coworking space," MerckNovateur electrical and digital enterprises, Digit"
8,MS2311D3,Hyderabad,Ameerpet,Ameerpet,500073,Awfis - Vasavi MPM Mall,1000,2,25200,32 inch LED TV,"17.43308143,78.44863917",Coworking space,"Aarth,  skyland, digital Brandlance, Gleneagles hospitals, Study overseas, willis towers watson, ernota technogies, Hash Overseas"
9,MSCWGWYM,Hyderabad,Hitech city,HITEC City,500081,Awfis - Hitech City 1st,672,3,37800,32 inch LED TV,"17.451797,78.371037",Coworking space,"cloud angles, neobric, Divimaxim, dispatch track,  sun positive"
10,MSW45DT1,Hyderabad,Gachibowli,Nanakaramguda,500008,Awfis - Rajapushpa Summit,1000,3,37800,32 inch LED TV,"17.423187255859375,78.33953857421875",Coworking space,"Wework, TATA elxsi,  thoughtworks technologies pvt ltd, Rational services, urvo india symbyont smart spaces "
11,MSKTEMG2,Hyderabad,Hitech city,HITEC City,500081,Awfis - Hitech City 4th,624,3,37800,32 inch LED TV,"17.45181655883789,78.37104034423828",Coworking space,"archents,  Glass free life, technominds, servo icon, Celzene, Stratmed"
12,MSTY8QSC,Hyderabad,Nanakaramguda,Nanakaramguda,500032,Awfis - Myscape Weave,500,2,25200,32 inch LED TV,"17.41456413269043,78.33641052246094",Coworking space,Van lavino
13,MSXZS7KJ,Hyderabad,Film Nagar,Navanirman Nagar Colony,500033,Phoenix IVY,1000,1,12600,55 inch LED TV,"17.420555114746094,78.4109878540039",Corporate Office,"D.E shaw pvt ltd, Neuland laboratories pvt ltd"
14,MSZS4JJN,Hyderabad,Banjara hills,Banjara Hills and Jubilee Hills,500034,NSL Icon,1500,4,50400,24 inch LED TV,"17.411884307861328,78.43603515625",Corporate Office," Konecranes India,  Swarna Shubha Bhoomi, NSL Textiles Limited, Heritage fresh"
15,MSZJ0FQX,Hyderabad,"Hyderabad, Telangana",Kondapur,500081,Wework - Krishe Emerald,3000,9,113400,43 inch LED TV,"17.4583957,78.368352",Coworking space," Enwave Concepts and Consultants, 9AV Ads,  Rabrigid Private Limited, PDI Software India LLP, Option Zero Research & Consulting Services,  Abhinav Immigration Services Pvt. Ltd."
16,MS1V1P3R,Hyderabad,"Hyderabad, Telangana",Manikonda Jagir,500032,Wework - Rajapushpa Summit,700,4,50400,43 inch LED TV,"17.4231761,78.3390326",Coworking space," Futluz Technologies,  CloudBuilders Technologies Private Limited"
17,MSB03YZV,Hyderabad,"Hyderabad, Telangana",Madhapur,500081,WeWork - Mindspace,2500,2,25200,43 inch LED TV,"17.44149398803711,78.38087463378906",Coworking space,"Flylines India Visa Consultancy Service, JP Morgan Chase India Private Limited, Eminence Business Media LLP, IBM India Pvt. Ltd.,  Concentrix Daksh Business Services Pvt Ltd"
18,MSVKR57Z,Hyderabad,Uppal,"Survey No- 1, 6, Uppal - Ramanthapur Rd, Uppal, Hyderabad, Telangana 500039",500039,NSL Arena Tech Park,5000,30,378000,24 inch LED TV,"17.402703,78.546431",Corporate Office,"Techintelli solutions pvt ltd, Lancesoft india pvt ltd, Smart folks, Excelra,  Cyient Ltd, LIC customer zone, Honey bees,  ProKarma Softech,  Suja Associates Pvt Ltd, Midnight cravings,  IKS Health Pvt. Ltd"
19,MSGYTRGN,Hyderabad,Gachibowli and Hitech City,Madhapur,500081,Raheja Mindspace IT Park - Madhapur,78450,22,277200,55 inch LED TV,"17.438325881958008,78.38472747802734",Corporate Office,"Policy Bazar, HSBC, IBM, Schneider,  Mind Tree , Global Edge, Thomson Reuters, Cognizant, Amazon, Facebook, Wipro"
20,MSF5QG1H,Hyderabad,Kokapet & Financial District,Financial District,500032,Elemental,2000,4,50400,43 inch LED TV,"17.413440704345703,78.34354400634766",Corporate Office,"Elemental Realty Pvt Ltd,  Info Services Digitech India"
21,MSRKK39Z,Hyderabad,Gachibowli,Gachibowli and Hitech City,500081,Meenakshi Tech Park,9000,2,25200,55 inch LED TV,"17.443562,78.369468",Corporate Office," KlearTone Pvt Ltd,  Reliance Retail Limited,  Areteans Hyderabad,  Ivy Comptech Meenakshi, Credera Hyderabad,  O.C.Tanner India Pvt Ltd,  Itya TV"
22,MSM1YJP5,Hyderabad,Madhapur,Madhapur,500081,Sattva Octave (Redbrick Offices),850,2,25200,32 inch LED TV,"17.434263229370117,78.382080078125",Coworking space," GD Goenka La Petite Montessori PreSchool,  Chubb Business Services India Private Limited,  MyLandscaping Solutions Private Limited (Landscapic ),  Splunk Services India Private Limited,  Nextracker India Pvt. Ltd.,  Splunk Services India Private Limited,  Invenio Business Solutions Pvt Ltd,  Lloyds Technology Centre,  Chubb Business Services India Private Limited,  Silabs India Private Limited, Moderate Capsule | Moderate Tablet | Lets Moderate | Let's"
23,MSZPRN20,Hyderabad,Hitech city,Hitech city,500081,Sattva Orwell (Redbrick Offices),850,3,37800,32 inch LED TV,"17.43275260925293,78.38138580322266",Coworking space," Belatrix Software Pvt Ltd ,  Nihira Business Solutions India pvt ltd.,  EcoEvolve Bio Private Limited, ANAROCK Property Consultants, Synopsys, Design Group (DG),  JDA Software,  Siemens EDA India Private Ltd.,  JD Sports Fashion India LLP, Kshema General Insurance Limited, TATWA INFOCOM PRIVATE LIMITED, Mentor Graphics India Private Limited"
24,MS6BHXVA,Hyderabad,Hitech city,HITEC City,500081,Raheja 2A (Redbrick Offices),850,1,12600,32 inch LED TV,"17.44499397277832,78.38067626953125",Coworking space," Concentrix Daksh India Pvt Ltd, iAppSys Technologies,  Radix Business Solutions,  Cushman & Wakefield - Commercial Real Estate Services, Surya Soft Tech, Accelalpha,  Cushman & Wakefield - Commercial Real Estate Services,  Thundersoft India Pvt Ltd., 24-7 Intouch - Hyderabad, Reachout Business Analytics,  Universal Interior Designs"
25,MS3WEYPC,Hyderabad,Hitech city,HITEC City,500081,Symbyont Smart Space Aurobindo Orbit,2000,2,25200,43 inch LED TV,"17.434783935546875,78.31624603271484",Coworking space,"-Premier Energies Limited, Davisware Software Solutions Pvt Ltd , Capital Now, Storable India Pvt Ltd, Credit Vidya (Info credit service)"
26,MSN5812F,Hyderabad,Nanakaramguda,Financial District,500032,Symbyont Smart Space Rajapushpa Summit,800,2,25200,43 inch LED TV,"17.423080444335938,78.33920288085938",Coworking space,"Euklid Innovations, Highspot, Turvo India Pvt Ltd, CBL Solutions, Typeface AI, Mordor Intelligence, Qbrainx India Private Limited, Adaptoid Labs India Private Limited , Scalify India Private Limited "
27,MSVCYW37,Hyderabad,Hitech city,Silpa Gram Craft Villag,500032,Symbyont Smart Space Dallas Centre,1760,5,63000,43 inch LED TV,"17.433302,78.378452",Coworking space,"Ovation Services Pvt Ltd, Knight Frank India Pvt Ltd, Perficient India Private Limited , Unirac Solar India LLP, Fluxon Apps,  Fint Solutions, Avani Tech Solutions Pvt Ltd, Softobiz Technologies, Recvue (I) Pvt Ltd,  Release Point, Tek Tree Software Solutions"
28,MSX89PDY,Hyderabad,Hitech city,Silpa Gram Craft Village,500081,WeWork - RMZ Spire,1195,4,50400,43 inch LED TV,"17.433408737182617,78.3824234008789",Coworking space,"Nielsen Media India Pvt Ltd, Info It Solutions Private Limited, Opland ERP, Clifford Chance Business Services, Indian Explosives Pvt Ltd (Orica), Urban School, RVR ADGAMEFILM STUDIOS, Orané Studio"
29,MSVJ4VSQ,Hyderabad,Kukatpally,KPHB,500072,NSL Centrum Mall,,4,50400,24 inch LED TV,"17.48344612121582,78.39322662353516",Office Cum Mall," Teleperformance Hyderabad,  Tata STRIVE Skill Development Centre"
