Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
1,Bangalore,Whitefield,International Tech Park (ITPB),Creator - Reception Lobby,"  50,000 ", N ,Digital Pods,3*7,55,1,9,"Discover - US Technologhy, Xerox Technology, Zenmonics Software, Panasoni Life, Plastic Omnium Auto, Revolt Intellicorp Pvt, Rsab, Scientific Games, Sycomp Technologies, Tata Cosultancy, Technicolor India, Index Lithigraphy, Infovision, Insemi Technology, Institute Bio informatis, Longhorns labs, DBA xcom labs, MBB Labs, Omens Animation, Osi Energy automation, Capital Land, Carnation, Cognisure, Denso International, EXA-AG, General Motors, Incred Financial, Creator - Sabre Travel, Scientific Games, Sycomp Technolofies, Tata Communications, Tech Mahindra, Technicolor, Xandr India, Achronix, Alcatel - Lucent, Bharat Sanchar Nigam, Ecinical, Einfolge, First advantage Global,Gyansys Infotech, Kotak, Nokia, NTT Cloud, Reliance, Sabre Travel, Scintific Games, Sycomp, Tata, Tech Mahindra, Technicolor, Xandr India, Innovator - Xinthe Technologies, N.F Simth, Nextgen, Open Bet, RLE, Sacha Engineering, Sharp Software, Skiva, Happy Visitor Esoutions, Hireright , Insemi Technology, ITPB business Centre, judge India, Mentora, Mindsprint, Mobicip, Technicolor, Telia, The Dhanalakshmi Bank, Thoucentric, Truspeq, Tyfone, Upilot, V4U, Webdunia.com, Certes, Citi Bank, Criterion, ECI Telecom, First Advantage, Operating Center, Galax, General Notors, Technical, Globant, Explorer - IBM, Kingslake, Scirntific games, Tat Cosultancy, Technicolor, Aegis, Applied Materials, ATOS IT, Criterion Networks, First Advantage Global, Inventor - Applied Materials, ATOST IT, Fiorano, Galax E Solutions,Gyansys Infotech, Kyndryl, Technicolor, Navigator - Applied Materails, Florano, Glenburn, Innoactive , Jupiter Intergrated, Kaalari Capital, Kennametal, PPalc Networks, Sabre Travel, Scientific Games, Siemens, SOA IT, Technicolor,"
,Bangalore,Whitefield,International Tech Park (ITPB),Discover - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Explorer - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Innovator - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Inventor - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Navigator - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Concourse Area - 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Concourse Area - 2,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,International Tech Park (ITPB),Concourse Area - 3,,,Digital Pods,3*7,55,1,,
2,Bangalore,Whitefield,International Tech Park (ITPB - SEZ),Voyager - Reception Lobby,"  25,000 ", N ,Digital Pods,3*7,55,1,3,"Aviator - Conduent Busniess services India, Galaxe Solutions, HCL, Mu Sigma, Victor - CSS Corp, Slash Support, Societe Generale, Natixis Services in India, Tata Consultancy, Voyager - Dealslooter.in, Galaxe Solutions, Scientific Games, IPsoft Global Services/ Amelia Global Services, Movate Technologies"
